country_code,country,year,indicator_code,indicator,value,imputed,abs_change,pct_change,avg_annual_change
ARG,Argentina,2001,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,3.27,False,2.12,64.83,0.092
ARG,Argentina,2002,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,2.56,False,2.12,64.83,0.092
ARG,Argentina,2003,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,3.21,False,2.12,64.83,0.092
ARG,Argentina,2004,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,3.08,False,2.12,64.83,0.092
ARG,Argentina,2005,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,3.2,False,2.12,64.83,0.092
ARG,Argentina,2006,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,3.99,False,2.12,64.83,0.092
ARG,Argentina,2007,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,3.41,False,2.12,64.83,0.092
ARG,Argentina,2008,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,3.72,False,2.12,64.83,0.092
ARG,Argentina,2009,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,3.0,False,2.12,64.83,0.092
ARG,Argentina,2010,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,4.49,False,2.12,64.83,0.092
ARG,Argentina,2011,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,4.25,False,2.12,64.83,0.092
ARG,Argentina,2012,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,3.98,False,2.12,64.83,0.092
ARG,Argentina,2013,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,3.97,False,2.12,64.83,0.092
ARG,Argentina,2014,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,4.43,False,2.12,64.83,0.092
ARG,Argentina,2015,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,4.77,False,2.12,64.83,0.092
ARG,Argentina,2016,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,5.1,False,2.12,64.83,0.092
ARG,Argentina,2017,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,4.83,False,2.12,64.83,0.092
ARG,Argentina,2018,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,4.63,False,2.12,64.83,0.092
ARG,Argentina,2019,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,5.1,False,2.12,64.83,0.092
ARG,Argentina,2020,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,5.11,False,2.12,64.83,0.092
ARG,Argentina,2021,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,4.93,False,2.12,64.83,0.092
ARG,Argentina,2022,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,5.3,False,2.12,64.83,0.092
ARG,Argentina,2023,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,5.39,False,2.12,64.83,0.092
ARG,Argentina,2000,SE.PRM.ENRR,matricula_primaria_bruta_pct,106.97,False,2.76,2.58,0.12
ARG,Argentina,2001,SE.PRM.ENRR,matricula_primaria_bruta_pct,106.89,False,2.76,2.58,0.12
ARG,Argentina,2002,SE.PRM.ENRR,matricula_primaria_bruta_pct,107.46,False,2.76,2.58,0.12
ARG,Argentina,2003,SE.PRM.ENRR,matricula_primaria_bruta_pct,106.89,False,2.76,2.58,0.12
ARG,Argentina,2004,SE.PRM.ENRR,matricula_primaria_bruta_pct,107.255,True,2.76,2.58,0.12
ARG,Argentina,2005,SE.PRM.ENRR,matricula_primaria_bruta_pct,107.62,False,2.76,2.58,0.12
ARG,Argentina,2006,SE.PRM.ENRR,matricula_primaria_bruta_pct,107.84,False,2.76,2.58,0.12
ARG,Argentina,2007,SE.PRM.ENRR,matricula_primaria_bruta_pct,107.82,False,2.76,2.58,0.12
ARG,Argentina,2008,SE.PRM.ENRR,matricula_primaria_bruta_pct,107.97,False,2.76,2.58,0.12
ARG,Argentina,2009,SE.PRM.ENRR,matricula_primaria_bruta_pct,107.07,False,2.76,2.58,0.12
ARG,Argentina,2010,SE.PRM.ENRR,matricula_primaria_bruta_pct,107.88,True,2.76,2.58,0.12
ARG,Argentina,2011,SE.PRM.ENRR,matricula_primaria_bruta_pct,108.69,False,2.76,2.58,0.12
ARG,Argentina,2012,SE.PRM.ENRR,matricula_primaria_bruta_pct,108.54,False,2.76,2.58,0.12
ARG,Argentina,2013,SE.PRM.ENRR,matricula_primaria_bruta_pct,108.63,False,2.76,2.58,0.12
ARG,Argentina,2014,SE.PRM.ENRR,matricula_primaria_bruta_pct,108.49,False,2.76,2.58,0.12
ARG,Argentina,2015,SE.PRM.ENRR,matricula_primaria_bruta_pct,108.61,False,2.76,2.58,0.12
ARG,Argentina,2016,SE.PRM.ENRR,matricula_primaria_bruta_pct,108.54,False,2.76,2.58,0.12
ARG,Argentina,2017,SE.PRM.ENRR,matricula_primaria_bruta_pct,108.85,False,2.76,2.58,0.12
ARG,Argentina,2018,SE.PRM.ENRR,matricula_primaria_bruta_pct,108.38,False,2.76,2.58,0.12
ARG,Argentina,2019,SE.PRM.ENRR,matricula_primaria_bruta_pct,109.49,False,2.76,2.58,0.12
ARG,Argentina,2020,SE.PRM.ENRR,matricula_primaria_bruta_pct,108.67,False,2.76,2.58,0.12
ARG,Argentina,2021,SE.PRM.ENRR,matricula_primaria_bruta_pct,109.44,False,2.76,2.58,0.12
ARG,Argentina,2022,SE.PRM.ENRR,matricula_primaria_bruta_pct,109.73,False,2.76,2.58,0.12
ARG,Argentina,2023,SE.PRM.ENRR,matricula_primaria_bruta_pct,109.73,True,2.76,2.58,0.12
ARG,Argentina,2000,SE.SEC.ENRR,matricula_secundaria_bruta_pct,106.93,False,1.33,1.24,0.058
ARG,Argentina,2001,SE.SEC.ENRR,matricula_secundaria_bruta_pct,105.3,False,1.33,1.24,0.058
ARG,Argentina,2002,SE.SEC.ENRR,matricula_secundaria_bruta_pct,106.06,True,1.33,1.24,0.058
ARG,Argentina,2003,SE.SEC.ENRR,matricula_secundaria_bruta_pct,106.82,False,1.33,1.24,0.058
ARG,Argentina,2004,SE.SEC.ENRR,matricula_secundaria_bruta_pct,105.9,False,1.33,1.24,0.058
ARG,Argentina,2005,SE.SEC.ENRR,matricula_secundaria_bruta_pct,106.18,False,1.33,1.24,0.058
ARG,Argentina,2006,SE.SEC.ENRR,matricula_secundaria_bruta_pct,106.81,False,1.33,1.24,0.058
ARG,Argentina,2007,SE.SEC.ENRR,matricula_secundaria_bruta_pct,106.13,False,1.33,1.24,0.058
ARG,Argentina,2008,SE.SEC.ENRR,matricula_secundaria_bruta_pct,106.82,False,1.33,1.24,0.058
ARG,Argentina,2009,SE.SEC.ENRR,matricula_secundaria_bruta_pct,106.845,True,1.33,1.24,0.058
ARG,Argentina,2010,SE.SEC.ENRR,matricula_secundaria_bruta_pct,106.87,True,1.33,1.24,0.058
ARG,Argentina,2011,SE.SEC.ENRR,matricula_secundaria_bruta_pct,106.895,True,1.33,1.24,0.058
ARG,Argentina,2012,SE.SEC.ENRR,matricula_secundaria_bruta_pct,106.92,False,1.33,1.24,0.058
ARG,Argentina,2013,SE.SEC.ENRR,matricula_secundaria_bruta_pct,107.38,False,1.33,1.24,0.058
ARG,Argentina,2014,SE.SEC.ENRR,matricula_secundaria_bruta_pct,107.24,False,1.33,1.24,0.058
ARG,Argentina,2015,SE.SEC.ENRR,matricula_secundaria_bruta_pct,107.585,True,1.33,1.24,0.058
ARG,Argentina,2016,SE.SEC.ENRR,matricula_secundaria_bruta_pct,107.93,False,1.33,1.24,0.058
ARG,Argentina,2017,SE.SEC.ENRR,matricula_secundaria_bruta_pct,107.18,False,1.33,1.24,0.058
ARG,Argentina,2018,SE.SEC.ENRR,matricula_secundaria_bruta_pct,107.69,True,1.33,1.24,0.058
ARG,Argentina,2019,SE.SEC.ENRR,matricula_secundaria_bruta_pct,108.2,False,1.33,1.24,0.058
ARG,Argentina,2020,SE.SEC.ENRR,matricula_secundaria_bruta_pct,108.08,False,1.33,1.24,0.058
ARG,Argentina,2021,SE.SEC.ENRR,matricula_secundaria_bruta_pct,107.985,True,1.33,1.24,0.058
ARG,Argentina,2022,SE.SEC.ENRR,matricula_secundaria_bruta_pct,107.89,False,1.33,1.24,0.058
ARG,Argentina,2023,SE.SEC.ENRR,matricula_secundaria_bruta_pct,108.26,False,1.33,1.24,0.058
ARG,Argentina,2000,SE.TER.ENRR,matricula_terciaria_bruta_pct,93.04,False,2.14,2.3,0.093
ARG,Argentina,2001,SE.TER.ENRR,matricula_terciaria_bruta_pct,92.86,False,2.14,2.3,0.093
ARG,Argentina,2002,SE.TER.ENRR,matricula_terciaria_bruta_pct,92.84,False,2.14,2.3,0.093
ARG,Argentina,2003,SE.TER.ENRR,matricula_terciaria_bruta_pct,93.62,False,2.14,2.3,0.093
ARG,Argentina,2004,SE.TER.ENRR,matricula_terciaria_bruta_pct,93.59666666666666,True,2.14,2.3,0.093
ARG,Argentina,2005,SE.TER.ENRR,matricula_terciaria_bruta_pct,93.57333333333334,True,2.14,2.3,0.093
ARG,Argentina,2006,SE.TER.ENRR,matricula_terciaria_bruta_pct,93.55,False,2.14,2.3,0.093
ARG,Argentina,2007,SE.TER.ENRR,matricula_terciaria_bruta_pct,93.57,True,2.14,2.3,0.093
ARG,Argentina,2008,SE.TER.ENRR,matricula_terciaria_bruta_pct,93.59,False,2.14,2.3,0.093
ARG,Argentina,2009,SE.TER.ENRR,matricula_terciaria_bruta_pct,93.64,False,2.14,2.3,0.093
ARG,Argentina,2010,SE.TER.ENRR,matricula_terciaria_bruta_pct,93.92,False,2.14,2.3,0.093
ARG,Argentina,2011,SE.TER.ENRR,matricula_terciaria_bruta_pct,94.24,False,2.14,2.3,0.093
ARG,Argentina,2012,SE.TER.ENRR,matricula_terciaria_bruta_pct,94.06,False,2.14,2.3,0.093
ARG,Argentina,2013,SE.TER.ENRR,matricula_terciaria_bruta_pct,94.73,False,2.14,2.3,0.093
ARG,Argentina,2014,SE.TER.ENRR,matricula_terciaria_bruta_pct,94.85,False,2.14,2.3,0.093
ARG,Argentina,2015,SE.TER.ENRR,matricula_terciaria_bruta_pct,94.45,False,2.14,2.3,0.093
ARG,Argentina,2016,SE.TER.ENRR,matricula_terciaria_bruta_pct,94.59,True,2.14,2.3,0.093
ARG,Argentina,2017,SE.TER.ENRR,matricula_terciaria_bruta_pct,94.73,False,2.14,2.3,0.093
ARG,Argentina,2018,SE.TER.ENRR,matricula_terciaria_bruta_pct,95.23,False,2.14,2.3,0.093
ARG,Argentina,2019,SE.TER.ENRR,matricula_terciaria_bruta_pct,95.03,False,2.14,2.3,0.093
ARG,Argentina,2020,SE.TER.ENRR,matricula_terciaria_bruta_pct,95.13,False,2.14,2.3,0.093
ARG,Argentina,2021,SE.TER.ENRR,matricula_terciaria_bruta_pct,94.46,False,2.14,2.3,0.093
ARG,Argentina,2022,SE.TER.ENRR,matricula_terciaria_bruta_pct,94.82,True,2.14,2.3,0.093
ARG,Argentina,2023,SE.TER.ENRR,matricula_terciaria_bruta_pct,95.18,False,2.14,2.3,0.093
BRA,Brazil,2000,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,88.82,False,5.1,5.74,0.222
BRA,Brazil,2001,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,89.23,False,5.1,5.74,0.222
BRA,Brazil,2002,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,88.37,False,5.1,5.74,0.222
BRA,Brazil,2003,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,89.43,False,5.1,5.74,0.222
BRA,Brazil,2004,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,89.59,False,5.1,5.74,0.222
BRA,Brazil,2005,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,90.18,False,5.1,5.74,0.222
BRA,Brazil,2006,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,90.08,False,5.1,5.74,0.222
BRA,Brazil,2007,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,90.46,False,5.1,5.74,0.222
BRA,Brazil,2008,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,90.77,True,5.1,5.74,0.222
BRA,Brazil,2009,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,91.08,False,5.1,5.74,0.222
BRA,Brazil,2010,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,90.88,False,5.1,5.74,0.222
BRA,Brazil,2011,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,91.66,False,5.1,5.74,0.222
BRA,Brazil,2012,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,91.23,False,5.1,5.74,0.222
BRA,Brazil,2013,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,91.625,True,5.1,5.74,0.222
BRA,Brazil,2014,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,92.02,False,5.1,5.74,0.222
BRA,Brazil,2015,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,92.93,False,5.1,5.74,0.222
BRA,Brazil,2016,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,92.1,False,5.1,5.74,0.222
BRA,Brazil,2017,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,92.77,False,5.1,5.74,0.222
BRA,Brazil,2018,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,92.7,False,5.1,5.74,0.222
BRA,Brazil,2019,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,92.65,False,5.1,5.74,0.222
BRA,Brazil,2020,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,93.5,False,5.1,5.74,0.222
BRA,Brazil,2021,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,92.96,False,5.1,5.74,0.222
BRA,Brazil,2022,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,93.38,False,5.1,5.74,0.222
BRA,Brazil,2023,SE.ADT.LITR.ZS,alfabetizacao_adultos_pct,93.92,False,5.1,5.74,0.222
BRA,Brazil,2000,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,0.0,False,7.18,,0.312
BRA,Brazil,2001,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,0.0,True,7.18,,0.312
BRA,Brazil,2002,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,0.0,False,7.18,,0.312
BRA,Brazil,2003,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,0.0,False,7.18,,0.312
BRA,Brazil,2004,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,0.0,False,7.18,,0.312
BRA,Brazil,2005,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,0.0,True,7.18,,0.312
BRA,Brazil,2006,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,0.0,False,7.18,,0.312
BRA,Brazil,2007,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,0.0,False,7.18,,0.312
BRA,Brazil,2008,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,0.67,False,7.18,,0.312
BRA,Brazil,2009,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,1.33,False,7.18,,0.312
BRA,Brazil,2010,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,1.36,False,7.18,,0.312
BRA,Brazil,2011,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,2.29,False,7.18,,0.312
BRA,Brazil,2012,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,1.89,False,7.18,,0.312
BRA,Brazil,2013,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,2.48,False,7.18,,0.312
BRA,Brazil,2014,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,3.36,False,7.18,,0.312
BRA,Brazil,2015,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,3.58,False,7.18,,0.312
BRA,Brazil,2016,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,4.45,False,7.18,,0.312
BRA,Brazil,2017,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,4.83,False,7.18,,0.312
BRA,Brazil,2018,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,4.95,True,7.18,,0.312
BRA,Brazil,2019,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,5.07,False,7.18,,0.312
BRA,Brazil,2020,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,5.81,False,7.18,,0.312
BRA,Brazil,2021,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,6.64,False,7.18,,0.312
BRA,Brazil,2022,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,7.17,False,7.18,,0.312
BRA,Brazil,2023,SE.XPD.TOTL.GD.ZS,gasto_publico_educacao_pct_pib,7.18,False,7.18,,0.312
BRA,Brazil,2000,SE.PRM.ENRR,matricula_primaria_bruta_pct,103.92,True,10.6,10.2,0.461
BRA,Brazil,2001,SE.PRM.ENRR,matricula_primaria_bruta_pct,103.92,False,10.6,10.2,0.461
BRA,Brazil,2002,SE.PRM.ENRR,matricula_primaria_bruta_pct,105.06,False,10.6,10.2,0.461
BRA,Brazil,2003,SE.PRM.ENRR,matricula_primaria_bruta_pct,105.2,False,10.6,10.2,0.461
BRA,Brazil,2004,SE.PRM.ENRR,matricula_primaria_bruta_pct,105.66,False,10.6,10.2,0.461
BRA,Brazil,2005,SE.PRM.ENRR,matricula_primaria_bruta_pct,105.88,False,10.6,10.2,0.461
BRA,Brazil,2006,SE.PRM.ENRR,matricula_primaria_bruta_pct,106.32,False,10.6,10.2,0.461
BRA,Brazil,2007,SE.PRM.ENRR,matricula_primaria_bruta_pct,107.49,False,10.6,10.2,0.461
BRA,Brazil,2008,SE.PRM.ENRR,matricula_primaria_bruta_pct,107.77,False,10.6,10.2,0.461
BRA,Brazil,2009,SE.PRM.ENRR,matricula_primaria_bruta_pct,107.81,False,10.6,10.2,0.461
BRA,Brazil,2010,SE.PRM.ENRR,matricula_primaria_bruta_pct,108.53,False,10.6,10.2,0.461
BRA,Brazil,2011,SE.PRM.ENRR,matricula_primaria_bruta_pct,109.04,False,10.6,10.2,0.461
BRA,Brazil,2012,SE.PRM.ENRR,matricula_primaria_bruta_pct,110.04,False,10.6,10.2,0.461
BRA,Brazil,2013,SE.PRM.ENRR,matricula_primaria_bruta_pct,109.44,False,10.6,10.2,0.461
BRA,Brazil,2014,SE.PRM.ENRR,matricula_primaria_bruta_pct,110.39,False,10.6,10.2,0.461
BRA,Brazil,2015,SE.PRM.ENRR,matricula_primaria_bruta_pct,111.08,False,10.6,10.2,0.461
BRA,Brazil,2016,SE.PRM.ENRR,matricula_primaria_bruta_pct,111.79,False,10.6,10.2,0.461
BRA,Brazil,2017,SE.PRM.ENRR,matricula_primaria_bruta_pct,111.39,False,10.6,10.2,0.461
BRA,Brazil,2018,SE.PRM.ENRR,matricula_primaria_bruta_pct,111.94,False,10.6,10.2,0.461
BRA,Brazil,2019,SE.PRM.ENRR,matricula_primaria_bruta_pct,112.175,True,10.6,10.2,0.461
BRA,Brazil,2020,SE.PRM.ENRR,matricula_primaria_bruta_pct,112.41,False,10.6,10.2,0.461
BRA,Brazil,2021,SE.PRM.ENRR,matricula_primaria_bruta_pct,113.555,True,10.6,10.2,0.461
BRA,Brazil,2022,SE.PRM.ENRR,matricula_primaria_bruta_pct,114.7,False,10.6,10.2,0.461
BRA,Brazil,2023,SE.PRM.ENRR,matricula_primaria_bruta_pct,114.52,False,10.6,10.2,0.461
BRA,Brazil,2000,SE.SEC.ENRR,matricula_secundaria_bruta_pct,95.15,False,10.65,11.19,0.463
BRA,Brazil,2001,SE.SEC.ENRR,matricula_secundaria_bruta_pct,96.12,False,10.65,11.19,0.463
BRA,Brazil,2002,SE.SEC.ENRR,matricula_secundaria_bruta_pct,96.95,True,10.65,11.19,0.463
BRA,Brazil,2003,SE.SEC.ENRR,matricula_secundaria_bruta_pct,97.78,False,10.65,11.19,0.463
BRA,Brazil,2004,SE.SEC.ENRR,matricula_secundaria_bruta_pct,97.74,False,10.65,11.19,0.463
BRA,Brazil,2005,SE.SEC.ENRR,matricula_secundaria_bruta_pct,97.58,False,10.65,11.19,0.463
BRA,Brazil,2006,SE.SEC.ENRR,matricula_secundaria_bruta_pct,98.68,False,10.65,11.19,0.463
BRA,Brazil,2007,SE.SEC.ENRR,matricula_secundaria_bruta_pct,99.04,True,10.65,11.19,0.463
BRA,Brazil,2008,SE.SEC.ENRR,matricula_secundaria_bruta_pct,99.4,False,10.65,11.19,0.463
BRA,Brazil,2009,SE.SEC.ENRR,matricula_secundaria_bruta_pct,99.66,False,10.65,11.19,0.463
BRA,Brazil,2010,SE.SEC.ENRR,matricula_secundaria_bruta_pct,101.35,False,10.65,11.19,0.463
BRA,Brazil,2011,SE.SEC.ENRR,matricula_secundaria_bruta_pct,101.29,False,10.65,11.19,0.463
BRA,Brazil,2012,SE.SEC.ENRR,matricula_secundaria_bruta_pct,101.77,False,10.65,11.19,0.463
BRA,Brazil,2013,SE.SEC.ENRR,matricula_secundaria_bruta_pct,101.79,False,10.65,11.19,0.463
BRA,Brazil,2014,SE.SEC.ENRR,matricula_secundaria_bruta_pct,102.04,False,10.65,11.19,0.463
BRA,Brazil,2015,SE.SEC.ENRR,matricula_secundaria_bruta_pct,102.57,False,10.65,11.19,0.463
BRA,Brazil,2016,SE.SEC.ENRR,matricula_secundaria_bruta_pct,102.69,False,10.65,11.19,0.463
BRA,Brazil,2017,SE.SEC.ENRR,matricula_secundaria_bruta_pct,104.28,False,10.65,11.19,0.463
BRA,Brazil,2018,SE.SEC.ENRR,matricula_secundaria_bruta_pct,104.05,False,10.65,11.19,0.463
BRA,Brazil,2019,SE.SEC.ENRR,matricula_secundaria_bruta_pct,105.07,False,10.65,11.19,0.463
BRA,Brazil,2020,SE.SEC.ENRR,matricula_secundaria_bruta_pct,104.84,False,10.65,11.19,0.463
BRA,Brazil,2021,SE.SEC.ENRR,matricula_secundaria_bruta_pct,105.62,False,10.65,11.19,0.463
BRA,Brazil,2022,SE.SEC.ENRR,matricula_secundaria_bruta_pct,105.97,False,10.65,11.19,0.463
BRA,Brazil,2023,SE.SEC.ENRR,matricula_secundaria_bruta_pct,105.8,False,10.65,11.19,0.463
BRA,Brazil,2000,SE.TER.ENRR,matricula_terciaria_bruta_pct,46.69,False,9.37,20.07,0.407
BRA,Brazil,2001,SE.TER.ENRR,matricula_terciaria_bruta_pct,46.3,False,9.37,20.07,0.407
BRA,Brazil,2002,SE.TER.ENRR,matricula_terciaria_bruta_pct,46.46,False,9.37,20.07,0.407
BRA,Brazil,2003,SE.TER.ENRR,matricula_terciaria_bruta_pct,47.61,False,9.37,20.07,0.407
BRA,Brazil,2004,SE.TER.ENRR,matricula_terciaria_bruta_pct,47.8,False,9.37,20.07,0.407
BRA,Brazil,2005,SE.TER.ENRR,matricula_terciaria_bruta_pct,48.39,False,9.37,20.07,0.407
BRA,Brazil,2006,SE.TER.ENRR,matricula_terciaria_bruta_pct,48.74,False,9.37,20.07,0.407
BRA,Brazil,2007,SE.TER.ENRR,matricula_terciaria_bruta_pct,48.33,False,9.37,20.07,0.407
BRA,Brazil,2008,SE.TER.ENRR,matricula_terciaria_bruta_pct,49.26,False,9.37,20.07,0.407
BRA,Brazil,2009,SE.TER.ENRR,matricula_terciaria_bruta_pct,49.7,False,9.37,20.07,0.407
BRA,Brazil,2010,SE.TER.ENRR,matricula_terciaria_bruta_pct,50.87,False,9.37,20.07,0.407
BRA,Brazil,2011,SE.TER.ENRR,matricula_terciaria_bruta_pct,50.96,False,9.37,20.07,0.407
BRA,Brazil,2012,SE.TER.ENRR,matricula_terciaria_bruta_pct,51.6,False,9.37,20.07,0.407
BRA,Brazil,2013,SE.TER.ENRR,matricula_terciaria_bruta_pct,51.72,False,9.37,20.07,0.407
BRA,Brazil,2014,SE.TER.ENRR,matricula_terciaria_bruta_pct,52.52,False,9.37,20.07,0.407
BRA,Brazil,2015,SE.TER.ENRR,matricula_terciaria_bruta_pct,52.69,False,9.37,20.07,0.407
BRA,Brazil,2016,SE.TER.ENRR,matricula_terciaria_bruta_pct,53.11,False,9.37,20.07,0.407
BRA,Brazil,2017,SE.TER.ENRR,matricula_terciaria_bruta_pct,53.625,True,9.37,20.07,0.407
